time,lat,lon,value
1246982844,37.863988,-122.272133,0.015
1246982845,37.863987,-122.272125,0.015
1246982846,37.863977,-122.272128,0.016
1246982847,37.863940,-122.272130,0.015
1246982848,37.863910,-122.272123,0.017
1246982849,37.863907,-122.272117,0.014
1246982850,37.863872,-122.272117,0.014
1246982851,37.863805,-122.272112,0.013
1246982852,37.863727,-122.272108,0.013
1246982853,37.863682,-122.272108,0.014
1246982854,37.863633,-122.272117,0.013
1246982855,37.863595,-122.272107,0.015
1246982856,37.863562,-122.272092,0.012
1246982857,37.863542,-122.272073,0.017
1246982858,37.863525,-122.272060,0.014
1246982859,37.863507,-122.272037,0.015
1246982860,37.863522,-122.272018,0.014
1246982861,37.863542,-122.271987,0.013
1246982862,37.863547,-122.271982,0.015
1246982863,37.863547,-122.271982,0.012
1246982864,37.863547,-122.271982,0.015
1246982865,37.863538,-122.271973,0.016
1246982866,37.863490,-122.271973,0.012
1246982867,37.863428,-122.271975,0.012
1246982868,37.863367,-122.271982,0.011
1246982869,37.863320,-122.271990,0.015
1246982870,37.863293,-122.272002,0.016
1246982871,37.863283,-122.272003,0.009
1246982872,37.863277,-122.271995,0.014
1246982873,37.863258,-122.271980,0.011
1246982874,37.863198,-122.271988,0.013
1246982875,37.863157,-122.271998,0.010
1246982876,37.863092,-122.272002,0.018
1246982877,37.863002,-122.272008,0.015
1246982878,37.862952,-122.271997,0.012
1246982879,37.862912,-122.271980,0.013
1246982880,37.862842,-122.271980,0.011
1246982881,37.862795,-122.271973,0.013
1246982882,37.862745,-122.271962,0.014
1246982883,37.862698,-122.271965,0.013
1246982884,37.862658,-122.271955,0.010
1246982885,37.862578,-122.271950,0.013
1246982886,37.862500,-122.271958,0.015
1246982887,37.862453,-122.271958,0.012
1246982888,37.862392,-122.271960,0.012
1246982889,37.862338,-122.271965,0.013
1246982890,37.862303,-122.271957,0.015
1246982891,37.862290,-122.271952,0.017
1246982892,37.862265,-122.271930,0.015
1246982893,37.862195,-122.271928,0.012
1246982894,37.862133,-122.271922,0.014
1246982895,37.862065,-122.271918,0.016
1246982896,37.862012,-122.271913,0.013
1246982897,37.861940,-122.271917,0.013
1246982898,37.861877,-122.271913,0.014
1246982899,37.861813,-122.271910,0.016
1246982900,37.861753,-122.271898,0.015
1246982901,37.861703,-122.271898,0.021
1246982902,37.861652,-122.271892,0.020
1246982903,37.861587,-122.271887,0.021
1246982904,37.861505,-122.271887,0.017
1246982905,37.861443,-122.271875,0.023
1246982906,37.861400,-122.271855,0.017
1246982907,37.861348,-122.271845,0.026
1246982908,37.861285,-122.271840,0.039
1246982909,37.861222,-122.271830,0.056
1246982910,37.861147,-122.271817,0.018
1246982911,37.861085,-122.271808,0.016
1246982912,37.861033,-122.271792,0.013
1246982913,37.860963,-122.271780,0.014
1246982914,37.860907,-122.271775,0.043
1246982915,37.860858,-122.271773,0.020
1246982916,37.860780,-122.271772,0.018
1246982917,37.860720,-122.271772,0.018
1246982918,37.860645,-122.271772,0.016
1246982919,37.860562,-122.271770,0.012
1246982920,37.860492,-122.271767,0.013
1246982921,37.860448,-122.271765,0.013
1246982922,37.860413,-122.271752,0.012
1246982923,37.860355,-122.271742,0.013
1246982924,37.860308,-122.271737,0.012
1246982925,37.860235,-122.271727,0.016
1246982926,37.860168,-122.271715,0.012
1246982927,37.860112,-122.271702,0.014
1246982928,37.860060,-122.271697,0.014
1246982929,37.859995,-122.271687,0.013
1246982930,37.859947,-122.271680,0.012
1246982931,37.859908,-122.271680,0.016
1246982932,37.859857,-122.271683,0.014
1246982933,37.859810,-122.271687,0.012
1246982934,37.859810,-122.271685,0.012
1246982935,37.859808,-122.271692,0.015
1246982936,37.859813,-122.271702,0.014
1246982937,37.859800,-122.271715,0.015
1246982938,37.859800,-122.271722,0.012
1246982939,37.859812,-122.271725,0.013
1246982940,37.859810,-122.271735,0.015
1246982941,37.859813,-122.271743,0.015
1246982942,37.859832,-122.271717,0.012
1246982943,37.859868,-122.271697,0.012
1246982944,37.859882,-122.271712,0.016
1246982945,37.859878,-122.271725,0.014
1246982946,37.859862,-122.271740,0.013
1246982947,37.859868,-122.271737,0.017
1246982948,37.859878,-122.271740,0.012
1246982949,37.859878,-122.271755,0.014
1246982950,37.859865,-122.271772,0.015
1246982951,37.859835,-122.271782,0.018
1246982952,37.859803,-122.271780,0.016
1246982953,37.859762,-122.271785,0.014
1246982954,37.859720,-122.271778,0.014
1246982955,37.859675,-122.271772,0.012
1246982956,37.859632,-122.271767,0.012
1246982957,37.859588,-122.271762,0.013
1246982958,37.859550,-122.271753,0.016
1246982959,37.859495,-122.271755,0.012
1246982960,37.859433,-122.271755,0.013
1246982961,37.859368,-122.271745,0.013
1246982962,37.859315,-122.271745,0.013
1246982963,37.859283,-122.271722,0.016
1246982964,37.859252,-122.271712,0.016
1246982965,37.859198,-122.271697,0.015
1246982966,37.859142,-122.271685,0.017
1246982967,37.859093,-122.271678,0.013
1246982968,37.859038,-122.271677,0.016
1246982969,37.858977,-122.271677,0.014
1246982970,37.858910,-122.271683,0.020
1246982971,37.858840,-122.271677,0.011
1246982972,37.858763,-122.271665,0.013
1246982973,37.858703,-122.271660,0.017
1246982974,37.858647,-122.271655,0.014
1246982975,37.858585,-122.271653,0.013
1246982976,37.858528,-122.271650,0.013
1246982977,37.858463,-122.271645,0.017
1246982978,37.858415,-122.271630,0.014
1246982979,37.858360,-122.271618,0.013
1246982980,37.858293,-122.271603,0.017
1246982981,37.858223,-122.271592,0.015
1246982982,37.858157,-122.271590,0.014
1246982983,37.858085,-122.271585,0.014
1246982984,37.858015,-122.271585,0.017
1246982985,37.857945,-122.271585,0.016
1246982986,37.857870,-122.271580,0.019
1246982987,37.857810,-122.271568,0.019
1246982988,37.857742,-122.271560,0.014
1246982989,37.857678,-122.271548,0.015
1246982990,37.857622,-122.271540,0.018
1246982991,37.857565,-122.271538,0.015
1246982992,37.857505,-122.271542,0.013
1246982993,37.857447,-122.271538,0.015
1246982994,37.857383,-122.271535,0.014
1246982995,37.857327,-122.271528,0.013
1246982996,37.857277,-122.271520,0.012
1246982997,37.857220,-122.271513,0.013
1246982998,37.857150,-122.271497,0.016
1246982999,37.857087,-122.271495,0.013
1246983000,37.857028,-122.271502,0.013
1246983001,37.856970,-122.271503,0.014
1246983002,37.856933,-122.271485,0.013
1246983003,37.856892,-122.271478,0.014
1246983004,37.856828,-122.271475,0.013
1246983005,37.856788,-122.271457,0.014
1246983006,37.856743,-122.271450,0.013
1246983007,37.856693,-122.271440,0.012
1246983008,37.856645,-122.271428,0.014
1246983009,37.856612,-122.271413,0.012
1246983010,37.856578,-122.271405,0.017
1246983011,37.856545,-122.271393,0.017
1246983012,37.856543,-122.271380,0.016
1246983013,37.856540,-122.271373,0.012
1246983014,37.856527,-122.271370,0.013
1246983015,37.856520,-122.271365,0.015
1246983016,37.856520,-122.271365,0.011
1246983017,37.856520,-122.271365,0.014
1246983018,37.856487,-122.271342,0.016
1246983019,37.856460,-122.271332,0.015
1246983020,37.856423,-122.271337,0.013
1246983021,37.856363,-122.271337,0.017
1246983022,37.856310,-122.271333,0.013
1246983023,37.856258,-122.271335,0.015
1246983024,37.856205,-122.271335,0.013
1246983025,37.856152,-122.271333,0.015
1246983026,37.856092,-122.271330,0.015
1246983027,37.856027,-122.271327,0.012
1246983028,37.855975,-122.271312,0.013
1246983029,37.855928,-122.271312,0.014
1246983030,37.855862,-122.271300,0.015
1246983031,37.855795,-122.271295,0.013
1246983032,37.855748,-122.271283,0.015
1246983033,37.855702,-122.271268,0.015
1246983034,37.855642,-122.271260,0.015
1246983035,37.855565,-122.271252,0.014
1246983036,37.855500,-122.271250,0.011
1246983037,37.855443,-122.271245,0.015
1246983038,37.855393,-122.271225,0.015
1246983039,37.855352,-122.271208,0.014
1246983040,37.855305,-122.271202,0.014
1246983041,37.855245,-122.271210,0.015
1246983042,37.855177,-122.271213,0.013
1246983043,37.855115,-122.271215,0.013
1246983044,37.855062,-122.271222,0.012
1246983045,37.855017,-122.271218,0.014
1246983046,37.854982,-122.271203,0.016
1246983047,37.854925,-122.271195,0.014
1246983048,37.854872,-122.271185,0.013
1246983049,37.854822,-122.271178,0.013
1246983050,37.854762,-122.271177,0.016
1246983051,37.854712,-122.271173,0.014
1246983052,37.854675,-122.271158,0.012
1246983053,37.854637,-122.271150,0.014
1246983054,37.854582,-122.271150,0.012
1246983055,37.854520,-122.271153,0.014
1246983056,37.854458,-122.271152,0.011
1246983057,37.854415,-122.271152,0.014
1246983058,37.854375,-122.271158,0.011
1246983059,37.854327,-122.271175,0.013
1246983060,37.854265,-122.271217,0.014
1246983061,37.854233,-122.271275,0.011
1246983062,37.854252,-122.271332,0.013
1246983063,37.854280,-122.271395,0.012
1246983064,37.854253,-122.271483,0.014
1246983065,37.854230,-122.271570,0.011
1246983066,37.854190,-122.271655,0.011
1246983067,37.854165,-122.271727,0.014
1246983068,37.854152,-122.271802,0.012
