id,badge_id,time,lat,lon,value
42145,000000000005,1238461655,None,None,0.333333333333
42149,000000000005,1238461675,None,None,0
42149,000000000005,1238461675,37.8516047949,-122.270954483,0
42154,000000000005,1238461695,37.8500868288,-122.271145263,0
42158,000000000005,1238461715,37.8485688627,-122.271336042,0
42162,000000000005,1238461735,37.8470508966,-122.271526822,0.854166666667
42158,000000000005,1238461715,37.8485688627,-122.271336042,0
42162,000000000005,1238461735,37.8470508966,-122.271526822,0.854166666667
42167,000000000005,1238461755,37.84472716,-122.2709774,1.04166666667
42171,000000000005,1238461775,37.8423138933,-122.270345733,1.97916666667
42175,000000000005,1238461795,37.8399006267,-122.269714067,0.604166666667
42169,000000000005,1238461765,37.8418470333,-122.271024927,0.604166666667
42173,000000000005,1238461785,37.8404797,-122.27016616,0.333333333333
42178,000000000005,1238461805,37.8391123667,-122.269307393,0.854166666667
42182,000000000005,1238461825,37.8377450333,-122.268448627,0.4375
42186,000000000005,1238461845,37.8363777,-122.26758986,0.0416666666667
42180,000000000005,1238461815,37.84136093,-122.26653028,0.1875
42184,000000000005,1238461835,37.8385972967,-122.26678948,1.85416666667
42188,000000000005,1238461855,37.8358336633,-122.26704868,0.9375
42193,000000000005,1238461875,37.83307003,-122.26730788,0.875
42197,000000000005,1238461895,37.8303063967,-122.26756708,0.354166666667
42201,000000000005,1238461915,37.8275427633,-122.26782628,0.458333333333
42193,000000000005,1238461875,37.83307003,-122.26730788,0.875
42197,000000000005,1238461895,37.8303063967,-122.26756708,0.354166666667
42201,000000000005,1238461915,37.82749693,-122.268251063,0.458333333333
42206,000000000005,1238461935,37.82519163,-122.26426243,0.145833333333
42210,000000000005,1238461955,37.82288633,-122.260273797,0.354166666667
42214,000000000005,1238461975,37.82058103,-122.256285163,0.0
42210,000000000005,1238461955,37.82288633,-122.260273797,0.354166666667
42214,000000000005,1238461975,37.82058103,-122.256285163,0.0
42219,000000000005,1238461995,37.81708899,-122.25298911,3.20833333333
42223,000000000005,1238462015,37.81346509,-122.24977001,3.375
42227,000000000005,1238462035,37.80984119,-122.24655091,2.625
42221,000000000005,1238462005,37.81338504,-122.25435892,2.97916666667
42225,000000000005,1238462025,37.81094364,-122.24927772,2.35416666667
42230,000000000005,1238462045,37.80850224,-122.24419652,2.25
42232,000000000005,1238462055,37.8076286,-122.24337267,4.79166666667
